Lat,Lon
40.76,-73.9761
40.7065,-74.0061
40.6449,-73.7822
40.7224,-73.9917
40.7332,-73.9872
40.7422,-74.0042
40.7736,-73.8712
40.694,-73.9872
40.7311,-73.9888
40.7684,-73.8624
40.7746,-73.8997
40.7469,-73.9884
40.7294,-73.9895
40.7326,-73.9896
40.7521,-73.9914
40.7206,-73.989
40.7106,-73.9662
40.7509,-74.0036
40.7746,-73.8997
40.7487,-74.0035
40.7437,-73.9876
40.7439,-73.9879
40.6482,-73.783
40.7555,-73.9728
40.6483,-73.7827
40.708,-74.0143
40.7327,-73.99
40.7418,-74.0043
40.7429,-73.9831
40.7084,-74.0049
40.7517,-74.0058
40.7623,-73.9863
40.7187,-74.0059
40.7698,-73.9642
40.7313,-73.9747
40.7313,-73.9747
40.774,-73.8726
40.7157,-73.9901
40.6575,-74.0048
40.6448,-73.7826
40.6449,-73.7819
40.6449,-73.782
40.6953,-74.1776
40.7289,-73.9828
40.7419,-74.0036
40.7256,-73.995
40.6965,-73.9715
40.7738,-73.872
40.7126,-74.0086
40.7215,-73.9884
40.645,-73.782
40.6847,-73.9639
40.7634,-73.9928
40.7127,-73.9378
40.7269,-73.9837
40.6832,-74.0041
40.6947,-74.1778
40.7297,-73.9971
40.7476,-74.0081
40.7666,-73.9595
40.6878,-74.1818
40.6251,-73.9608
40.7486,-73.9923
40.746,-74.0078
40.7685,-73.8625
40.7457,-73.9881
40.7605,-73.9779
40.6483,-73.7829
40.7835,-73.9503
40.727,-73.9839
40.6949,-74.1781
40.7685,-73.8625
40.7867,-73.9777
40.7115,-74.0077
40.6717,-73.9712
40.7342,-74.0032
40.7219,-73.9579
40.7542,-73.9774
40.7406,-74.0058
40.7641,-73.9799
40.7418,-74.001
40.7546,-73.9859
40.7144,-73.9999
40.7244,-73.9786
40.7736,-73.8717
40.7741,-73.8725
40.7578,-73.9912
40.7432,-73.9993
40.7685,-73.8626
40.7305,-73.9862
40.72,-74.0046
40.6906,-74.1777
40.7549,-73.9847
40.7567,-73.9945
40.6451,-73.782
40.7267,-73.9962
40.6978,-73.928
40.7024,-73.9873
40.8473,-73.9055
40.7048,-74.0095
40.75,-73.975
40.7438,-74.0063
40.7438,-74.0063
40.7349,-74.1649
40.7464,-73.9838
40.7431,-73.9893
40.6448,-73.7824
40.7298,-74.0007
40.7737,-73.8711
40.7461,-73.9566
40.7836,-73.9794
40.7604,-73.9788
40.7045,-74.0101
40.7382,-74.0096
40.7186,-74.0034
40.6483,-73.7829
40.8279,-73.9408
40.7248,-73.9493
40.718,-73.9575
40.7463,-74.0011
40.7594,-73.9734
40.7024,-73.9842
40.8135,-73.9612
40.8143,-73.9473
40.6445,-73.7817
40.7549,-73.9921
40.7577,-73.9841
40.6448,-73.7827
40.6949,-74.1779
40.7531,-73.9854
40.6946,-73.9613
40.7638,-73.9741
40.7384,-73.9856
40.7142,-74
40.7576,-73.9866
40.7437,-73.9878
40.754,-73.9763
40.7497,-73.9856
40.6878,-74.1817
40.6878,-74.1817
40.7201,-74.01
40.7432,-74.0084
40.6449,-73.7821
40.6449,-73.7821
40.6235,-74.0222
40.7685,-73.8625
40.7275,-73.9941
40.6935,-73.9709
40.7192,-74.0075
40.7437,-73.988
40.7595,-73.9755
40.7637,-73.9962
40.7252,-74.0023
40.7606,-73.9623
40.7587,-73.9679
40.7071,-74.005
40.7262,-73.9918
40.7508,-73.9902
40.6448,-73.7809
40.7573,-73.984
40.7591,-73.9684
40.7554,-73.9863
40.7573,-73.9757
40.7384,-73.9862
40.7249,-73.9906
40.7637,-73.9744
40.7252,-74.0023
40.7311,-73.9888
40.7196,-73.9954
40.7602,-73.9889
40.7189,-74.0434
40.721,-73.9569
40.8057,-74.008
40.6879,-74.1825
40.7561,-73.9849
40.7326,-74.0018
40.7607,-73.9625
40.7212,-73.9879
40.6818,-73.9237
40.7585,-73.9728
40.7535,-73.975
40.7466,-73.9859
40.6882,-74.1803
40.7221,-74.0042
40.6459,-73.7768
40.6946,-74.1778
40.75,-73.9942
40.7256,-73.992
40.7499,-73.984
40.8064,-73.9601
40.6879,-74.183
40.7743,-73.9815
40.644,-73.7827
40.7255,-73.9986
40.645,-73.7827
40.7438,-73.988
40.7466,-73.9938
40.7328,-74.0025
40.6503,-73.9456
40.756,-73.992
40.7641,-73.9745
40.6457,-73.7767
40.6787,-73.9905
40.7565,-73.994
40.7435,-73.9881
40.742,-74.0056
40.6467,-73.7901
40.6881,-74.1834
40.7528,-73.9817
40.7437,-73.9513
40.7514,-74.0067
40.741,-74.0077
40.7274,-74.0016
40.6449,-73.7823
40.6448,-73.7825
40.7397,-73.9989
40.7344,-73.9977
40.7274,-74.0016
40.7385,-73.9824
40.7625,-73.9822
40.7138,-74.0121
40.6449,-73.7824
40.6946,-74.1777
40.7405,-73.9983
40.7459,-73.9906
40.7075,-74.1708
40.7436,-73.9881
40.645,-73.7818
40.7049,-73.9338
40.7308,-73.9993
40.7407,-74.0056
40.729,-73.9922
40.7751,-73.9634
40.6948,-74.1778
40.7051,-74.01
40.7256,-73.9999
40.7409,-74.0076
40.6484,-73.7831
40.7276,-73.9793
40.6758,-74.017
40.6448,-73.782
40.7245,-73.9983
40.7383,-73.9969
40.7103,-73.9634
40.7276,-73.9588
40.681,-74.0011
40.7151,-73.9517
40.6951,-74.1783
